Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,League,Team
Luis Guzman,us USA,DF,21,0,0,,,,,,,,,,,,,,,,NPSL,FC Arizona
Squad Total,,,26,1,11,90,1,1,1,2,1,0,0,1,0,1,1,2,1,2,,
Opponent Total,,,20.1,1,11,90,1,7,5,12,7,0,0,0,0,7,5,12,7,12,,
,,,,,,,,,,,,,,,,,,,,,NPSL,FC Motown
Stevo Bednarsky,us USA,MF,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Matthew Leong,us USA,DF,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Israel Neto,br BRA,MF,22,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Erick Ruiz,us USA,MF,19,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Joshua Schaffer,us USA,GK,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Edward Speed,eng ENG,DF,27,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,FC Motown
Jean-Ismaël Voltaire,ht HAI,DF,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Christopher Bermudez,us USA,MF,25,1,1,84,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,NPSL,FC Motown
Daniel Cordeiro,us USA,DF,28,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Maudwindo Germain,ht HAI,FW,23,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Eli Crognale,us USA,MF,27,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Luca Campbell,us USA,MF,22,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Joseph Fala,,FW,,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Andrew Maia,us USA,FW,23,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Illia Tyrkus,us USA,FW,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NPSL,FC Motown
Anderson Asiedu,gh GHA,MF,28,0,0,,,,,,,,,,,,,,,,NPSL,FC Motown
David Greczek,us USA,GK,30,0,0,,,,,,,,,,,,,,,,NPSL,FC Motown
Kendell Thomas,us USA,MF,23,0,0,,,,,,,,,,,,,,,,NPSL,FC Motown
Squad Total,,,25.5,1,11,90,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,
Opponent Total,,,26.7,1,11,90,1,1,0,1,0,1,1,2,0,1,0,1,0,0,,
,,,,,,,,,,,,,,,,,,,,,UPSL,Foro SC
Imanol Almaguer,us USA,MF,24,2,2,210,2.3,0,1,1,0,0,0,0,0,0,0.43,0.43,0,0.43,UPSL,Foro SC
Kyran Chambron Pinho,de GER,DF,23,2,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Brayan Padilla,us USA,FW,24,2,2,210,2.3,3,0,3,1,2,2,0,0,1.29,0,1.29,0.43,0.43,UPSL,Foro SC
Rio Ramirez,us USA,DF,26,2,2,210,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,UPSL,Foro SC
Gibran Rayo,us USA,"FW,DF",23,2,2,210,2.3,1,0,1,1,0,0,1,0,0.43,0,0.43,0.43,0.43,UPSL,Foro SC
Gonzalo Santa,es ESP,GK,31,2,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Thomas Robinson,us USA,DF,23,2,2,165,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,UPSL,Foro SC
McKinley Smith,us USA,FW,29,2,1,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Luis Lara,mx MEX,FW,23,2,1,121,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,UPSL,Foro SC
Manuel Lopez,us USA,MF,29,2,1,120,1.3,0,1,1,0,0,0,0,0,0,0.75,0.75,0,0.75,UPSL,Foro SC
Eric Gomez Silva,es ESP,FW,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Blaine Ferri,us USA,MF,24,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Braden Anderson,us USA,DF,22,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Marcelo Pedraza,us USA,MF,20,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Nate Kopetsky,us USA,MF,24,1,1,42,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,UPSL,Foro SC
Fabricio Martinez,us USA,MF,19,1,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Camilo Estrada,us USA,MF,22,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Eric Stoisa,,MF,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Foro SC
Antoine Detavernier,be BEL,DF,23,0,0,,,,,,,,,,,,,,,,UPSL,Foro SC
Jesus Diaz,us USA,GK,18,0,0,,,,,,,,,,,,,,,,UPSL,Foro SC
Ryan Jones,us USA,DF,22,0,0,,,,,,,,,,,,,,,,UPSL,Foro SC
Ethan Sampson,us USA,DF,22,0,0,,,,,,,,,,,,,,,,UPSL,Foro SC
Squad Total,,,25.4,2,22,210,2.3,4,2,6,2,2,2,4,1,1.71,0.86,2.57,0.86,1.71,,
Opponent Total,,,26.3,2,22,210,2.3,4,4,8,4,0,0,9,1,1.71,1.71,3.43,1.71,3.43,,
,,,,,,,,,,,,,,,,,,,,,UPSL,Harbor City FC
Kyle Carr,us USA,MF,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Ian Leighton,us USA,DF,24,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Samuel Leighton,us USA,DF,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Robert Madden,us USA,DF,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Bryce Notardonato,us USA,GK,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Zachary Pless,us USA,DF,19,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Mario Licor,us USA,MF,24,1,1,80,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,UPSL,Harbor City FC
Trey Collins,us USA,MF,33,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Perrie Nascimento,us USA,MF,25,1,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Mitchell Reed,us USA,FW,25,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Jordan Snell,us USA,FW,32,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Andrew Bennett,us USA,MF,21,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Derek Notardonato,us USA,MF,24,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Aden O'Hara,us USA,MF,22,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Gabriel Shelton,us USA,MF,19,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
John Oshakpemhe,us USA,MF,26,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,UPSL,Harbor City FC
Osaro Osayamon,us USA,MF,23,0,0,,,,,,,,,,,,,,,,UPSL,Harbor City FC
Collin Robidoux,us USA,MF,23,0,0,,,,,,,,,,,,,,,,UPSL,Harbor City FC
Squad Total,,,26.2,1,11,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Opponent Total,,,27.5,1,11,90,1,3,2,5,3,0,0,0,0,3,2,5,3,5,,
,,,,,,,,,,,,,,,,,,,,,USASA,Harpos FC
Joel Chavez,us USA,GK,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Baptiste Debuire,us USA,DF,25,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,USASA,Harpos FC
Braden Fidelak,us USA,DF,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Curtis Hale,us USA,MF,22,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
George Marchant,eng ENG,FW,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Danilo Peković,us USA,MF,25,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Davinson Diaz,us USA,MF,24,1,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
John Lister,us USA,MF,32,1,1,68,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,USASA,Harpos FC
Ricardo Perez,mx MEX,DF,29,1,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Shane Wheeler,us USA,MF,34,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Patrick Allan,us USA,DF,26,1,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Juan Araque,ck COK,MF,26,1,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Quinn Matulis,us USA,MF,24,1,0,31,0.3,0,1,1,0,0,0,0,0,0,2.9,2.9,0,2.9,USASA,Harpos FC
Jake Feiner,us USA,MF,24,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Luis Toledo,us USA,MF,22,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Daniel Whittle,us USA,FW,34,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,USASA,Harpos FC
Squad Total,,,26.5,1,11,90,1,1,1,2,1,0,0,1,0,1,1,2,1,2,,
Opponent Total,,,27.5,1,11,90,1,4,3,7,4,0,0,0,0,4,3,7,4,7,,
