Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
74,Sebastian Berhalter,us USA,MF,ca Vancouver W'caps,22,2001,2,1,81,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
75,Jorge Berlanga,mx MEX,DF,mx Pachuca,20,2003,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Germán Berterame,mx MEX,FW,mx Monterrey,25,1998,7,3,346,3.8,2,2,4,2,0,0,0,0,0.52,0.52,1.04,0.52,1.04,Matches
77,Javier Betegón,pa PAN,FW,pa CA Independiente,20,2003,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Myer Bevan,nz NZL,FW,ca Cavalry FC,26,1997,2,1,122,1.4,1,0,1,1,0,0,0,0,0.74,0,0.74,0.74,0.74,Matches
79,Tristan Blackmon,us USA,DF,ca Vancouver W'caps,27,1996,2,2,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Andre Blake,jm JAM,GK,us Philadelphia Union,33,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Njabulo Blom,za RSA,"DF,MF",us St. Louis City,24,1999,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Emmanuel Boateng,gh GHA,MF,us NE Revolution,30,1994,5,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
83,Byron Bonilla,ni NCA,"MF,FW",ni Real Estelí FC,30,1993,2,2,162,1.8,1,1,2,0,1,1,0,0,0.56,0.56,1.11,0,0.56,Matches
84,Celso Borges,cr CRC,MF,cr Alajuelense,35,1988,2,2,147,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Tristan Borges,ca CAN,MF,ca Forge FC,25,1998,2,1,142,1.6,0,1,1,0,0,0,0,0,0,0.63,0.63,0,0.63,Matches
86,Aaron Boupendza,ga GAB,FW,us FC Cincinnati,27,1996,3,3,234,2.6,1,0,1,1,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
87,Tyler Boyd,us USA,"FW,MF",us Nashville SC,29,1994,3,3,258,2.9,1,0,1,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
88,David Brekalo,si SVN,DF,us Orlando City,25,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Jefferson Brenes,cr CRC,MF,cr Saprissa,26,1997,2,2,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Juan Brigido,mx MEX,FW,mx Guadalajara,22,2001,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Antonio Briseño,mx MEX,DF,mx Guadalajara,29,1994,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
92,Isaác Brizuela,mx MEX,FW,mx Guadalajara,33,1990,3,1,130,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Lleyton Brooks,au AUS,FW,ca Cavalry FC,22,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Javain Brown,jm JAM,DF,ca Vancouver W'caps,24,1999,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Keyner Brown,cr CRC,DF,cr Herediano,32,1991,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Juan Brunetta,ar ARG,MF,mx UANL,26,1997,6,4,347,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Pavel Bucha,cz CZE,MF,us FC Cincinnati,25,1998,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Noel Buck,eng ENG,MF,us NE Revolution,18,2005,5,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
99,Teal Bunbury,us USA,"FW,MF",us Nashville SC,33,1990,2,0,47,0.5,0,1,1,0,0,0,1,0,0,1.91,1.91,0,1.91,Matches
100,Roman Bürki,ch SUI,GK,us St. Louis City,33,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Sergio Busquets,es ESP,MF,us Inter Miami,35,1988,4,4,360,4,0,1,1,0,0,0,1,0,0,0.25,0.25,0,0.25,Matches
102,Kevin Cabezas,cr CRC,MF,cr Alajuelense,24,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Gustavo Cabral,ar ARG,DF,mx Pachuca,38,1985,6,6,525,5.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
104,Sebastián Cáceres,uy URU,DF,mx América,24,1999,6,6,397,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
105,Mackenson Cadet,tc TCA,MF,jm Cavalier FC,24,2000,2,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
106,Cristian Calderón,mx MEX,"DF,MF",mx América,26,1997,6,6,494,5.5,1,0,1,1,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
107,Drake Callender,us USA,GK,us Inter Miami,26,1997,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Jalmaro Calvin,ag ATG,"MF,FW",jm Cavalier FC,20,2003,2,2,164,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
109,Rudy Camacho,fr FRA,DF,us Columbus Crew,32,1991,5,5,433,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Sergio Camargo,ca CAN,MF,ca Cavalry FC,29,1994,2,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Felipe Cambindo,co COL,DF,do Moca FC,19,2004,2,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Leonardo Campana,ec ECU,FW,us Inter Miami,23,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Joel Campbell,cr CRC,MF,cr Alajuelense,31,1992,2,2,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Terran Campbell,ca CAN,FW,ca Forge FC,25,1998,2,2,133,1.5,1,0,1,1,0,0,0,0,0.68,0,0.68,0.68,0.68,Matches
115,Diego Campos,cr CRC,MF,cr Alajuelense,28,1995,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Joshua Canales,hn HON,MF,cr Herediano,23,2000,3,0,95,1.1,1,1,2,1,0,0,0,0,0.95,0.95,1.89,0.95,1.89,Matches
117,Sergio Canales,es ESP,"MF,FW",mx Monterrey,32,1991,7,6,527,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Marco Carducci,ca CAN,GK,ca Cavalry FC,27,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Rafael Carioca,br BRA,MF,mx UANL,34,1989,4,4,337,3.7,0,1,1,0,0,0,0,1,0,0.27,0.27,0,0.27,Matches
120,José Carlos Pinto,gt GUA,DF,gt Comunicaciones,30,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Julián Carranza,ar ARG,FW,us Philadelphia Union,23,2000,3,2,213,2.4,4,0,4,4,0,0,1,0,1.69,0,1.69,1.69,1.69,Matches
122,Adalberto Carrasquilla,pa PAN,"MF,FW",us Houston Dynamo,25,1998,4,4,317,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Wilder Cartagena,pe PER,MF,us Orlando City,29,1994,4,4,315,3.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
124,José Castillo Pérez,mx MEX,DF,mx Guadalajara,22,2001,2,2,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
125,Edward Cedeño,pa PAN,MF,cr Alajuelense,20,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Roman Celentano,us USA,GK,us FC Cincinnati,23,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Kevin Chamorro,cr CRC,GK,cr Saprissa,23,2000,2,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Tomás Chancalay,ar ARG,"FW,MF",us NE Revolution,25,1999,6,5,393,4.4,4,0,4,3,1,1,0,0,0.92,0,0.92,0.69,0.69,Matches
129,Mateo Chávez,mx MEX,"MF,DF",mx Guadalajara,19,2004,2,2,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Yevhen Cheberko,ua UKR,DF,us Columbus Crew,26,1998,7,7,620,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,David Choinière,ca CAN,FW,ca Forge FC,26,1997,2,1,103,1.1,0,1,1,0,0,0,0,0,0,0.87,0.87,0,0.87,Matches
132,Ronaldo Cisneros,mx MEX,FW,mx Guadalajara,27,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Steve Clark,us USA,GK,us Houston Dynamo,37,1986,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
134,Davis Contreras,pa PAN,MF,pa CA Independiente,22,2001,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,José Corena,co COL,MF,gt Comunicaciones,31,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Jesús Corona,mx MEX,MF,mx Monterrey,31,1993,3,1,105,1.2,1,0,1,1,0,0,0,0,0.86,0,0.86,0.86,0.86,Matches
137,Jordi Cortizo,mx MEX,"MF,FW",mx Monterrey,27,1996,7,2,243,2.7,0,1,1,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
138,Cade Cowell,us USA,FW,mx Guadalajara,20,2003,4,3,244,2.7,3,1,4,3,0,0,0,0,1.11,0.37,1.48,1.11,1.48,Matches
139,Aarón Cruz,cr CRC,GK,cr Herediano,32,1991,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Allan Cruz,cr CRC,MF,cr Herediano,27,1996,5,5,393,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
141,Andrés Cubas,py PAR,MF,ca Vancouver W'caps,27,1996,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Cucho,co COL,"FW,MF",us Columbus Crew,24,1999,6,5,483,5.4,2,0,2,2,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
143,Sergio Cunningham,pa PAN,MF,ni Real Estelí FC,29,1994,2,1,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Richard Dabas,do DOM,"MF,DF",do Moca FC,29,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Jesse Daley,au AUS,MF,ca Cavalry FC,26,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Dagur Dan Þórhallsson,is ISL,DF,us Orlando City,23,2000,3,3,270,3,0,1,1,0,0,0,1,0,0,0.33,0.33,0,0.33,Matches
147,Jesús Daniel Bueno,ve VEN,MF,us Philadelphia Union,24,1999,4,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Orman Davis,pa PAN,DF,pa CA Independiente,21,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Sean Davis,us USA,MF,us Nashville SC,30,1993,3,3,236,2.6,0,1,1,0,0,0,0,0,0,0.38,0.38,0,0.38,Matches
150,Javier De la Espada,pa PAN,MF,pa CA Independiente,25,1998,1,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Nelson Deossa,co COL,MF,mx Pachuca,23,2000,7,7,585,6.5,2,2,4,2,0,0,0,0,0.31,0.31,0.62,0.31,0.62,Matches
152,Lucas Dias,pt POR,MF,ca Cavalry FC,21,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Luis Díaz,cr CRC,MF,cr Saprissa,25,1998,2,2,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Javairô Dilrosun,nl NED,MF,mx América,25,1998,5,1,146,1.6,0,1,1,0,0,0,0,0,0,0.62,0.62,0,0.62,Matches
155,Ronaldo Dinolis,pa PAN,FW,pa CA Independiente,29,1994,2,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Alexei Dominguez,mx MEX,MF,mx Pachuca,19,2005,4,0,94,1,1,0,1,1,0,0,0,0,0.96,0,0.96,0.96,0.96,Matches
157,Christopher Donovan,us USA,FW,us Philadelphia Union,23,2000,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Griffin Dorsey,us USA,"DF,MF",us Houston Dynamo,24,1999,4,4,350,3.9,1,0,1,0,1,1,1,0,0.26,0,0.26,0,0,Matches
159,Jonathan dos Santos,mx MEX,MF,mx América,33,1990,6,6,471,5.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
160,Andres Dumitrescu,sr SUR,FW,sr SV Robinhood,22,2001,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
161,Malcolm Duncan,ca CAN,DF,ca Forge FC,24,1999,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Kelvin Durán,do DOM,DF,do Moca FC,29,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Chris Durkin,us USA,MF,us St. Louis City,23,2000,2,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
164,Javon East,jm JAM,FW,cr Saprissa,28,1995,2,1,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
