Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
61,Reed Baker-Whiting,us USA,DF,us Seattle Sounders,19,2005,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Danilo Barbosa,br BRA,MF,br Botafogo (RJ),28,1996,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Alexander Barboza,ar ARG,DF,br Botafogo (RJ),29,1995,4,4,390,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
64,Bradley Barcola,fr FRA,FW,fr Paris Saint-Germain,22,2002,6,2,287,3.2,0,2,2,0,0,0,0,0,0,0.63,0.63,0,0.63,Matches
65,Nicolò Barella,it ITA,MF,it Inter,27,1997,4,4,331,3.7,0,1,1,0,0,0,1,0,0,0.27,0.27,0,0.27,Matches
66,Leandro Barreiro Martins,lu LUX,MF,pt Benfica,25,2000,4,3,301,3.3,2,0,2,2,0,0,0,0,0.6,0,0.6,0.6,0.6,Matches
67,Sergio Barreto,ar ARG,DF,mx Pachuca,25,1999,1,1,56,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
68,Pablo Barrios,es ESP,MF,es Atlético Madrid,21,2003,3,3,242,2.7,2,0,2,2,0,0,0,0,0.74,0,0.74,0.74,0.74,Matches
69,Alessandro Bastoni,it ITA,DF,it Inter,25,1999,4,3,269,3,1,0,1,1,0,0,2,0,0.33,0,0.33,0.33,0.33,Matches
70,Rodrigo Battaglia,ar ARG,MF,ar Boca Juniors,33,1991,3,3,270,3,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
71,Alán Bautista,mx MEX,MF,mx Pachuca,22,2002,3,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Paulo Baya,br BRA,MF,br Fluminense,25,1999,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Ahmed Beckham,eg EGY,DF,eg Al Ahly,27,1997,2,1,119,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
74,Maximilian Beier,de GER,"FW,MF",de Dortmund,22,2002,3,0,85,0.9,1,0,1,1,0,0,1,0,1.06,0,1.06,1.06,1.06,Matches
75,Youcef Belaïli,dz ALG,MF,tn Espérance Tunis,32,1992,2,2,179,2,1,0,1,1,0,0,2,0,0.5,0,0.5,0.5,0.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Adam Bell,nz NZL,DF,nz Auckland City,20,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Jon Bell,jm JAM,DF,us Seattle Sounders,27,1997,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Jobe Bellingham,eng ENG,MF,de Dortmund,19,2005,4,3,226,2.5,0,1,1,0,0,0,2,0,0,0.4,0.4,0,0.4,Matches
79,Jude Bellingham,eng ENG,MF,es Real Madrid,21,2003,6,6,442,4.9,1,1,2,1,0,0,1,0,0.2,0.2,0.41,0.2,0.41,Matches
80,Tomás Belmonte,ar ARG,MF,ar Boca Juniors,26,1998,2,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Andrea Belotti,it ITA,FW,pt Benfica,31,1993,2,0,77,0.9,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
82,Mohamed Ben Ali,tn TUN,DF,tn Espérance Tunis,29,1995,3,3,263,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
83,Bechir Ben Said,tn TUN,GK,tn Espérance Tunis,32,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Achraf Bencharki,ma MAR,FW,eg Al Ahly,30,1994,2,0,61,0.7,0,1,1,0,0,0,1,0,0,1.48,1.48,0,1.48,Matches
85,Yahya Benkhaleq,ma MAR,DF,ae Al Ain FC,23,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Ismael Benktib,es ESP,MF,ma Wydad AC,26,1998,1,0,12,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
87,Ramy Bensebaini,dz ALG,DF,de Dortmund,29,1995,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
88,Lucas Beraldo,br BRA,DF,fr Paris Saint-Germain,21,2003,5,3,322,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Facundo Bernal,uy URU,MF,br Fluminense,21,2003,5,3,263,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
90,Germán Berterame,mx MEX,FW,mx Monterrey,26,1998,4,4,313,3.5,3,0,3,3,0,0,0,0,0.86,0,0.86,0.86,0.86,Matches
